GEO (Codes),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE10,"56,600","55,800","56,700","56,700","57,800","59,500","59,400","60,600","61,600","63,400","60,900","66,200"
BE21,"35,100","35,700","36,700","37,000","37,600","39,100","39,900","40,900","41,900","43,400","43,000","46,900"
BE22,"24,100","24,900","25,400","25,600","26,600","26,900","27,400","28,300","29,100","29,700","29,200","32,300"
BE23,"27,100","27,600","28,300","28,800","29,100","30,400","31,000","32,000","32,600","33,500","33,000","36,300"
BE24,"31,800","32,200","33,500","33,800","34,500","35,800","36,700","37,600","38,700","39,900","36,500","39,800"
BE25,"28,400","28,900","29,800","30,400","31,200","32,000","32,800","33,700","34,500","35,700","35,200","39,000"
BE31,"34,600","32,100","33,600","34,900","36,200","36,900","38,600","40,200","44,300","49,600","46,500","46,500"
BE32,"19,400","19,900","20,100","20,100","20,600","21,100","21,200","21,800","22,500","22,800","22,300","24,600"
BE33,"21,900","22,500","22,500","22,600","23,200","23,600","23,900","24,600","25,300","26,100","25,300","28,000"
BE34,"19,700","20,000","19,400","19,500","20,200","20,700","20,700","21,300","21,800","22,500","22,100","24,200"
BE35,"21,200","21,300","21,800","21,900","22,300","22,600","22,900","23,500","24,100","24,500","24,100","26,300"
BG31,"6,800","7,400","7,500","7,500","8,100","8,100","8,500","9,200","10,200","10,100","10,800","12,800"
BG32,"7,300","7,900","8,400","8,500","9,100","9,200","9,600","10,100","10,700","11,100","11,200","12,800"
BG33,"9,000","9,600","10,000","9,900","10,600","10,900","11,200","11,800","12,500","12,900","12,600","14,000"
BG34,"9,200","9,500","10,100","10,200","10,900","11,000","12,300","12,900","12,800","12,600","11,700","14,600"
BG41,"19,000","19,500","19,600","19,400","20,300","21,500","22,500","23,800","25,200","27,900","27,800","31,100"
BG42,"7,800","8,200","8,600","8,500","8,600","9,300","9,700","10,300","11,000","11,600","12,000","12,300"
CZ01,"47,700","47,800","47,700","49,500","51,400","54,200","55,800","58,700","62,300","64,600","61,700","65,800"
CZ02,"18,500","19,500","19,600","19,700","20,900","21,800","22,800","24,300","24,700","26,800","24,500","25,700"
