GEO (Codes),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
BE10,"1,136,778","1,151,317","1,165,208","1,172,751","1,184,101","1,201,285","1,199,095","1,205,492","1,215,290","1,223,364","1,226,329","1,228,655",
BE21,"1,773,267","1,787,490","1,798,605","1,806,634","1,817,033","1,828,927","1,838,863","1,849,523","1,860,470","1,873,095","1,879,318","1,890,627",
BE22,"846,851","851,558","855,213","857,844","861,380","866,970","869,664","872,739","875,842","880,602","883,228","888,913",
BE23,"1,448,928","1,457,428","1,463,614","1,471,126","1,479,049","1,489,084","1,498,483","1,506,232","1,516,283","1,526,486","1,533,876","1,545,469",
BE24,"1,088,692","1,096,284","1,102,907","1,108,408","1,114,590","1,122,600","1,130,644","1,138,546","1,146,643","1,156,470","1,163,186","1,173,956",
BE25,"1,168,002","1,172,795","1,175,903","1,177,935","1,180,957","1,184,418","1,188,407","1,192,254","1,196,995","1,202,352","1,205,101","1,210,822",
BE31,"383,648","386,683","389,308","391,609","394,344","397,745","399,735","401,508","404,270","406,794","408,325","410,619",
BE32,"1,319,745","1,325,819","1,331,455","1,334,423","1,337,780","1,341,267","1,342,053","1,343,756","1,346,082","1,350,295","1,349,861","1,354,667",
BE33,"1,082,136","1,088,074","1,093,191","1,095,661","1,098,903","1,103,490","1,106,039","1,108,371","1,110,068","1,113,943","1,113,324","1,116,087",
BE34,"273,205","275,713","277,690","278,219","280,261","283,257","284,617","285,010","286,685","289,606","291,730","294,400",
BE35,"479,386","482,728","484,880","486,230","488,876","492,074","494,127","495,158","496,891","499,433","500,489","503,408",
BG31,"848,230","836,601","823,469","810,401","797,142","783,909","769,623","755,956","742,304","728,157","720,172","702,773",
BG32,"862,120","853,468","844,511","835,813","825,536","815,441","805,441","794,998","784,168","773,450","764,897","750,795",
BG33,"966,328","961,965","957,460","954,536","949,957","944,458","939,262","933,705","929,035","924,870","922,230","913,468",
BG34,"1,078,597","1,072,850","1,067,981","1,063,690","1,058,515","1,052,575","1,046,125","1,039,549","1,032,079","1,024,115","1,020,187","1,010,263",
BG41,"2,133,731","2,131,233","2,128,783","2,127,618","2,125,212","2,121,185","2,115,344","2,108,394","2,102,205","2,094,260","2,085,071","2,070,760",
BG42,"1,480,425","1,471,107","1,462,348","1,453,619","1,445,836","1,436,216","1,426,064","1,417,432","1,410,248","1,406,630","1,403,991","1,390,878",
CZ01,"1,234,037","1,241,664","1,246,780","1,243,201","1,259,079","1,267,449","1,280,508","1,294,513","1,308,632","1,324,277","1,335,084","1,275,406",b
CZ02,"1,264,986","1,279,345","1,291,816","1,302,336","1,315,299","1,326,876","1,338,982","1,352,795","1,369,332","1,385,141","1,397,997","1,386,824",b
CZ03,"1,207,027","1,207,847","1,209,298","1,210,176","1,212,423","1,214,450","1,217,411","1,221,012","1,226,805","1,233,982","1,234,592","1,215,754",b
CZ04,"1,132,252","1,131,191","1,128,490","1,125,429","1,123,265","1,120,654","1,118,126","1,116,766","1,115,685","1,115,629","1,110,315","1,082,108",b
CZ05,"1,508,735","1,508,867","1,507,980","1,506,503","1,506,813","1,507,209","1,508,527","1,510,726","1,513,693","1,517,999","1,516,135","1,494,671",b
CZ06,"1,675,872","1,678,250","1,679,857","1,680,287","1,682,748","1,684,500","1,687,764","1,692,123","1,696,941","1,701,802","1,704,179","1,688,593",b
CZ07,"1,229,117","1,227,668","1,225,302","1,222,655","1,220,972","1,219,394","1,217,623","1,216,234","1,215,413","1,214,570","1,210,641","1,195,362",b
CZ08,"1,234,705","1,230,613","1,226,602","1,221,832","1,217,676","1,213,311","1,209,879","1,205,886","1,203,299","1,200,539","1,192,834","1,177,989",b
DK01,"1,699,387","1,714,589","1,732,068","1,749,405","1,768,125","1,789,174","1,807,404","1,822,659","1,835,562","1,846,023","1,855,084",:,
DK02,"819,763","817,907","816,359","816,726","820,480","827,499","832,553","835,024","836,738","837,359","838,840",:,
DK03,"1,200,656","1,201,342","1,201,419","1,202,509","1,205,728","1,211,770","1,217,224","1,220,763","1,223,348","1,223,105","1,223,634",:,
